"uniquekeys","statelgafac","statecodes","lgacodes","distrcodes","facnames","addresss","questnums","reasons","designats","designats_2","ifotherspe","gender","age","educations","whoemploye","n15other","gradelevel","curgrade","primaryhea","workfacs","previously","indigene","farawayfac","time","time_2","gettowork","n116oth","havespouse","living","howfar","pays","n211oth","monthsal","months","salarylate","healthcare","medicines","schooling","housing","food","supplement","agric","petty","clinic","home","sellmed","other","n217oth","week","services","health","vacntime","vacnday","vacwdecide","arintime","arinday","ariwdecide","diatime","dianday","diawdecide","malntime","malnday","malwdecide","nutntime","nutnday","nutwdecide","matntime","matnday","matwdecide","fpntime","fpnday","fpwdecided","drugntime","drugnday","drugwdecid","stintime","stinday","stiwdecide","othntime","othnday","othwdecide","n221oth","days","outp","deliveries","inp","imm","antenatals","family","educa","inspection","laborators","admin","nonhealth","equipment","staffass","strike","strikelast","criterion","peoplelivi","house","bicycle","motorbike","car","boat","toilet","n314oth","purpose","times","discussed","referred","seeing","training","consider","attend","worker","diagnosis","tell","adjust","send","staffmeets","advice","whatother","n4111oth","notapplic","opinion","opinion_2","n4112oth","engaging","engaging_2","engaging_3","n4113oth","recstatus","salnopay"
412,20702,2,7,"WARD I",2,"ALAGBADO",1,1.79769313486232e+308,10,8,"",2,26,2,2,"",4,5,5,0,0,1,1,0.200000002980232,0.333333343267441,1,"",1,1,1.79769313486232e+308,3,"",9000,11,11,1,1,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,"",0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,2,2,2,2,2,3,1.79769313486232e+308,2,0,0,0,1,5,1,0,0,5,2,2,2,2,2,2,"",1,6,9,"",3,3,2,"",1,1
413,20702,2,7,"WARD I",2,"KOLLINGTON ALAGBADO",2,1.79769313486232e+308,2,2,"",2,48,3,1,"",7,14,17,2,3,2,0,0.0500000007450581,0.0833333358168602,5,"",1,1,1.79769313486232e+308,3,"",45000,11,1,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,2,0,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,1,1,1,1,2,1,2,2,1,2,0,3,5,4,2,2,1,2,3,1.79769313486232e+308,1,10,1,2,1,2,1,350,10,3,1,1,2,2,2,2,"",2,1,1,"",7,7,4,"FIND THE CAUSE",1,1
414,20702,2,7,"WARD I",2,"KOLLINGTON AGBADO",3,1.79769313486232e+308,9,8,"",2,52,2,2,"",3,13,12,0,4,2,35,0.449999988079071,0.75,4,"",1,1,1.79769313486232e+308,3,"",42000,11,6,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,2,0,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,6,4,2,2,1,2,3,1.79769313486232e+308,1,0,0,0,1,1,1,54,54,4,1,1,2,2,2,2,"",1.79769313486232e+308,1.79769313486232e+308,1,"RAISING ABUSE WORDS",3,3,2,"",1,1
415,20701,2,7,"WARD O (IJU)",1,"195 IJU ROAD AGEGE",4,1.79769313486232e+308,7,7,"",1,36,3,2,"",6,9,17,2,2,2,8,1,1,4,"",1,1,1.79769313486232e+308,3,"",24000,11,3,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,1.79769313486232e+308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,"",5,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,3,3,2,2,2,2,2,2,1.79769313486232e+308,1,0,0,0,2,1.79769313486232e+308,1,0,1.79769313486232e+308,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,2,"",3,3,2,"",1,1
416,20701,2,7,"WARD D (IJU)",1,"195 IJU ROAD",5,1.79769313486232e+308,2,2,"",2,43,3,1,"",5,10,20,0,1,2,16,2,2,4,"",1,1,1.79769313486232e+308,3,"",24000,11,4,1,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,1.79769313486232e+308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,"",6,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,4,5,3,2,2,1,2,3,1.79769313486232e+308,1,0,1,0,1,4,1,5,2,2,1,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,1
417,20701,2,7,"IJU DISRICT 02",1,"195 IJU ROAD IFAKO IJAYE",6,1.79769313486232e+308,4,4,"",2,39,3,1,"",8,10,11,0,1,2,22,0.449999988079071,0.75,4,"",1,1,1.79769313486232e+308,3,"",28000,11,11,2,2,2,2,2,1,1,2,2,2,2,1.79769313486232e+308,"",2,2,2,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",5,1,2,2,1,1,1,1,1,2,2,2,2,1,2,0,3,5,4,2,2,1,2,3,1.79769313486232e+308,1,0,4,1,2,2,1,150,1,2,2,1,2,2,2,2,"",2,5,5,"",3,3,2,"",1,1
418,20701,2,7,"IJU (02)",1,"195 IJU ROAD IFAKO IJAYE",7,1.79769313486232e+308,4,4,"",2,47,3,1,"",8,13,21,2,2,1,7,0.150000005960464,0.25,5,"",1,1,1.79769313486232e+308,3,"",30000,11,11,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",2,2,2,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",5,1,2,2,1,1,1,1,1,2,2,2,2,1,2,0,3,4,8,2,2,1,2,3,1.79769313486232e+308,1,0,3,2,2,2,1,150,3,2,2,1,2,2,2,2,"",2,5,5,"",3,3,2,"",1,1
419,20701,2,7,"IJU (02)",1,"195 IJU ROAD, IFAKO IJAYE",8,1.79769313486232e+308,2,2,"",2,50,3,5,"",7,14,23,2,5,2,30,1.29999995231628,1.49999988079071,4,"",1,2,12,3,"",45000,11,11,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,"",2,2,2,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,"",5,1,2,2,1,1,1,1,1,2,1,2,2,1,2,0,2,1,4,2,2,2,2,3,1.79769313486232e+308,1,0,5,2,2,2,1,250,5,2,2,1,2,2,2,2,"",2,5,5,"",3,3,2,"",1,1
420,20701,2,7,"IJU (O2)",1,"195 IJU ROAD  IFAKO",9,1.79769313486232e+308,2,2,"",2,52,3,1,"",7,13,21,2,4,2,25,1.20000004768372,1.33333337306976,4,"",1,1,1.79769313486232e+308,3,"",35000,11,11,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",2,2,2,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,"",5,1,2,2,1,1,1,1,1,2,2,2,2,1,2,0,2,5,4,2,2,1,2,3,1.79769313486232e+308,1,0,0,2,2,2,1,200,4,2,2,1,2,2,2,2,"",2,1,1,"",3,3,2,"",1,1
421,20703,2,7,"K",3,"18 OLATOUN STREET ILO",10,1.79769313486232e+308,4,4,"",2,37,3,1,"",8,9,8,0,2,2,3,0.300000011920929,0.5,1,"",1,1,1.79769313486232e+308,3,"",21449,11,11,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,0,1,3,1,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,1,1,1,2,1,2,2,2,1.79769313486232e+308,0,1,6,3,2,2,1,2,3,1.79769313486232e+308,1,23,3,5,1,4,1,50,10,3,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,6,9,"",7,7,4,"",1,1
