"sn","questnum","statecode","lgacode","distrcode","facname","address","intname","fistintdat","firststime","firstetime","firstintl","firstincom","secintdate","secstime","secetime","secintl","secincom","reason","supname","surcomdate","surinitial","dataentdat","datainitia","entname","firentdate","firseccomp","secentdate","secseccomp","head","designat","desigoth","nummedfac","nummeddut","numchofac","numchodut","numnurfsc","numnurdut","nummidfac","nummiddut","numschefac","numschedut","numjchefac","numjchedut","numenvifac","numenvidut","numlabfac","numlabdut","numpharfac","numphardut","nummerefac","nummeredut","numdenfac","numdendut","numothfac","numothdut","numhltfac","numhltdut","numvacfac","numvacdut","staffjoine","staffretir","transferre","dismissed","leave","buildfe","buildst","buildlga","builddo","buildddc","buildvdc","buildoth","budontknow","patientbed","mainsource","sourcetank","electricit","laboratory","transport","telephone","headquart","walkto","referral","longdoes","vehicle","hourswalk","phcclinic","publicsec","smallpriva","privatesec","under5","adultcons","antenatal","postnatal","familyplan","stistdser","dentistry","bcgimmu","measlesimm","servtt","servinpat","servmal","servlabtes","servblotes","charinpat","nainp","charmala","namlt","charlabblo","nalbt","charoutpat","naopm","receipt","facwork","ifnowhy","genfown","genprivown","gengood","genadequat","gaugfown","gaugpriown","gaugood","gaugadeqat","childfown","childpriow","childgood","childadequ","microfown","micropriow","microgood","microadequ","septfown","septpriown","septgood","septadequ","sterifown","steripriow","sterigood","steriadequ","malfown","malpriown","malgood","maladequa","urinfown","urinpriown","uringood","urinadequa","chlofown","chlopriown","chloinadeq","parafown","parapriown","parainadeq","antifown","antipriown","antiinadeq","orsfown","orspriown","orsinadeq","mulfown","mulpriown","mulinadeq","bcgfown","bcgpriown","bcginadeq","meafown","meapriown","meainadeq","condfown","condpriown","condinadeq","nonfeechar","standpri","exemppol","dispay","tuberpay","onchocepay","elderpay","poorpay","importpay","payothersp","regispaid","nareg","treatpaid","natrt","regestimay","treaestmay","namay","regestiapr","treestapr","naaprl","regestimar","treestmar","namarc","registfee","nafees","drugfee","nadrugs","othtrefee","naotrt","supldrugs","suplother","suplequp","suplmaint","suplbuild","suplstaff","devcommitt","workfac","commitnumn","womnumb","commitmeet","headattend","disciplrec","provdrug","fixedprice","fixeduser","reqvaccine","carrrepair","provfuel","repairequp","newinvest","resadmin","resperson","visfactrea","checkreg","checkstock","checkrecei","checkproto","adminisue","staffmeet","checkequip","chotherspe","phcmcvisfa","phcmcregis","phcmccards","phcmcrecei","phcmcmed","phcmcadmin","phcmcmeet","phcmcequip","phcmcother","facopenclo","undertake","acquire","available","medicalsup","charges","chargetrt","consultat","disciplina","transfer","facilitycl","leaking","broken","cracked","patientuse","sterilize","n614other","vaccines","fridge","forregistr","fordrugs","keepmonthl","forwarded","lastmonth","anatalmay","anatalapr","anatalmar","famplmay","famplapr","famplmar","inpatmay","inpatapr","inpatmar","bcgimmmay","bcgimmapr","bcgimmmar","outpatmay","outpatapr","outpatmar","hedumay","heduapr","hedumar","hvismay","hvisapr","hvismar","bothdelive","stillbirth"
39,7,1,4,"UCHUCHU",7,"","OYEWOLE OYEDIRAN",1900-06-28,11.45,12.2,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-28,"OS",1900-06-28,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1.79769313486232e+308,3,6,"",2,2,2,2,7,2,67,1.79769313486232e+308,2.3,1,4,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,2,250,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,99,150,1.79769313486232e+308,2,1,"",2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1,1,1.79769313486232e+308,1,1,1.79769313486232e+308,1,1,1.79769313486232e+308,2,1,1.79769313486232e+308,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,2,1,2,1,2,1,2,1,1,1,1.79769313486232e+308,3,1.79769313486232e+308,0,1.79769313486232e+308,50,700,1.79769313486232e+308,100,950,1.79769313486232e+308,70,350,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,8,8,8,6,6,4,2,1,7,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,"",1,1,1,1,1,2,1,1,"",3,4,4,4,4,4,4,4,4,3,3,2,2,2,2,5,"",5,3,2,2,1,1,2,999,9999,9999,999,999,999,2,999,999,999,999,999,999,999,999,2,2,2,5,0,0,2,0
40,8,1,4,"OMABO DISTRICT",8,"OMABO","OLOWOYO ISINMIOLA YEMISI",1900-06-28,1.3,2,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-28,"OS",1900-06-28,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,0,0,0,2,2,2,2,2,1,1.79769313486232e+308,1.79769313486232e+308,3,6,"",2,2,1,2,10,5,25,36,5,1,3,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,2,2,250,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,99,200,1.79769313486232e+308,1,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1.79769313486232e+308,0,1.79769313486232e+308,0,1.79769313486232e+308,200,800,1.79769313486232e+308,200,700,1.79769313486232e+308,300,1700,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,2,1.79769313486232e+308,6,6,4,8,6,4,2,1,7,3,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,"",1,1,1,1,1,1,1,1,"",3,4,3,4,3,5,5,5,3,3,3,1,2,1,1,4,"",3,3,2,2,1,1,2,3,3,2,2,2,2,1,999,999,1,999,999,8,9,15,3,3,3,2,1,4,9,0
41,10,1,4,"UNALE DISTRICT",10,"UGBOFE","MRS OLOWOYO ISINMIOLA Y.",1900-07-01,2.55,3.22,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-07-01,"OS",1900-07-01,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,0,0,0,2,2,2,2,2,1,1.79769313486232e+308,1.79769313486232e+308,2,6,"",2,2,2,2,10,1.4,6,1,0.4,1,2,0,0,0,1,1,1,1,1,2,2,1,1,1,1,1,2,2,300,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,99,120,1.79769313486232e+308,2,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1.79769313486232e+308,1,2,1,1.79769313486232e+308,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,2,2,2,1,1.79769313486232e+308,2,1,1,1,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,99,1.79769313486232e+308,4800,1.79769313486232e+308,1.79769313486232e+308,4600,1.79769313486232e+308,1.79769313486232e+308,6000,1.79769313486232e+308,1.79769313486232e+308,99,1,1.79769313486232e+308,1,1.79769313486232e+308,6,4,6,8,6,4,2,1,8,3,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,"1",1,1,1,2,1,1,1,1,"1",3,4,5,4,5,5,5,5,3,3,3,2,2,2,2,4,"",3,3,2,2,1,1,1,6,8,8,10,10,10,3,3,2,10,12,8,20,15,26,10,8,10,8,4,5,30,0
42,11,1,4,"AKPANYO DISTRICT",11,"IJEGBE,IBAJI LGA KOGI ST.","DR BENJAMIN J.A.",1900-07-01,3.1,3.3,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-07-01,"OS",1900-07-01,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,0,0,0,2,2,2,2,2,1,2,2,2,6,"",0,0,2,2,25,10,10,2,1,1,2,0,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,2,100,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,99,70,1.79769313486232e+308,2,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,1,1,2,1,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1.79769313486232e+308,1,2,1,1.79769313486232e+308,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1.79769313486232e+308,2,1,1,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,650,1.79769313486232e+308,1.79769313486232e+308,400,1.79769313486232e+308,1.79769313486232e+308,500,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,6,6,9,9,9,9,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,"2",1,1,1,1,1,1,1,1,"2",3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,5,"",3,3,2,2,1,1,1,7,2,5,3,3,3,999,999,999,999,999,999,27,33,56,4,4,4,27,33,56,0,0
43,12,1,4,"AYAH DISTRICT",13,"ODOCHALA,ONYEDEGA LGA.","DR BENJAMIN J.A.",1900-07-01,12.3,1.05,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-07-01,"OS",1900-07-01,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,0,0,0,2,2,2,2,2,1,2,2,3,6,"",2,2,1,2,20,1,3,1.79769313486232e+308,0.2,1,6,0,4,0,1,1,1,1,2,2,2,1,1,1,1,1,2,2,200,1.79769313486232e+308,1.79769313486232e+308,99,1.79769313486232e+308,99,120,1.79769313486232e+308,2,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1.79769313486232e+308,2,1,1,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,400,1.79769313486232e+308,1.79769313486232e+308,250,1.79769313486232e+308,1.79769313486232e+308,300,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,1,1.79769313486232e+308,3,6,9,9,9,4,2,2,8,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,"2",1,1,1,1,1,1,1,1,"2",3,3,3,3,3,3,3,3,3,3,3,2,2,1.79769313486232e+308,1,5,"",3,3,2,2,1,1,1,10,8,12,999,999,999,5,3,4,4,999,10,23,25,20,2,2,2,10,20,15,8,0
44,1,1,8,"EGBEDA/OKE OJA",9,"PHC KAKUN VIA KABBA","RAHEEM A.A.",1900-06-13,10.53,11.58,3,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-13,"OS",1900-06-13,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,2,2,1,2,2,1,2,2,0,4,"",1,2,2,2,15,2,15,2,0.3,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1.79769313486232e+308,99,1.79769313486232e+308,99,1.79769313486232e+308,99,80,1.79769313486232e+308,2,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,1,1,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1.79769313486232e+308,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,2,1,2,2,1,2,1,2,2,1.79769313486232e+308,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1.79769313486232e+308,2,1,1,1,1.79769313486232e+308,0,1.79769313486232e+308,0,1.79769313486232e+308,60,250,1.79769313486232e+308,40,160,1.79769313486232e+308,60,250,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,4,9,9,9,9,9,2,1,6,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"2",2,1,1,1,1,1,2,2,"2",3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,5,"",3,3,2,2,1,1,1,999,999,999,999,999,999,999,999,999,999,999,3,8,13,27,3,4,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308
45,2,1,8,"EGBEDA/OKE OJA",8,"OKETAYO","DR M.J. ABDULLAHI",1900-06-14,11.45,12.15,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-14,"OS",,"","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,2,12,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,0,0,0,0,2,2,2,2,2,1,2,2,1,4,"",1,2,2,2,10,2.3,2,0.3,0.1,1.79769313486232e+308,9,1,3,0,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1.79769313486232e+308,99,1.79769313486232e+308,99,1.79769313486232e+308,99,200,1.79769313486232e+308,1,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,2,1,1,1,1,1,1,1.79769313486232e+308,0,1.79769313486232e+308,0,1.79769313486232e+308,0,0,1.79769313486232e+308,0,0,1.79769313486232e+308,0,0,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,4,4,4,4,6,4,2,1,10,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,"",1,1,1,1,1,1,1,1,"",3,4,3,3,3,3,3,3,3,3,3,1,1,2,2,4,"",3,3,2,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,25,30,20,0,0
46,3,1,8,"KABBA H.DISTRICT",7,"LG DISP.ODO-AOFIN,KABBA","RAHEEM A.A.",1900-06-14,12.03,12.47,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-14,"OS",,"","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,5,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1,0,0,0,2,2,1,2,2,2,2,2,1,1,"",1,2,1,2,0,0.1,2,0.45,0.1,1,3,1,5,3,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1.79769313486232e+308,99,1.79769313486232e+308,99,1.79769313486232e+308,99,100,1.79769313486232e+308,1,1,"",1,1.79769313486232e+308,1,1,2,1,1,1,1,1.79769313486232e+308,1,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1.79769313486232e+308,1,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1,2,1,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,1,1.79769313486232e+308,2,1,1.79769313486232e+308,2,1,1.79769313486232e+308,2,2,1,2,1,2,2,1,1,1,1,0,1.79769313486232e+308,0,1.79769313486232e+308,150,1500,1.79769313486232e+308,100,500,1.79769313486232e+308,50,200,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,3,3,9,9,9,9,1,1,7,3,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,"",1,1,1,1,1,1,1,1,"1",3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,4,"",1,1,2,2,1,1,2,999,999,999,4,4,4,999,999,999,25,31,18,5,3,2,4,4,4,2,2,3,1.79769313486232e+308,1.79769313486232e+308
47,4,1,8,"KABBA",6,"FEHINTOLUWA QTERS,KABBA","DR M.J. ABDULLAHI",1900-06-14,10.15,10.45,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-14,"OS",1900-06-14,"OS","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,6,"",0,0,0,0,0,0,0,0,0,0,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,1,0,0,2,2,2,2,2,1,2,1.79769313486232e+308,1,4,"",1,2,2,2,3,0.45,3,0.45,0.1,1.79769313486232e+308,9,1,5,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1.79769313486232e+308,99,1.79769313486232e+308,99,1.79769313486232e+308,99,150,1.79769313486232e+308,2,1,"",2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,2,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,2,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1,1,1,1.79769313486232e+308,0,1.79769313486232e+308,0,1.79769313486232e+308,150,3500,1.79769313486232e+308,120,2000,1.79769313486232e+308,150,3500,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,4,4,4,4,4,4,2,1,10,0,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,"",1,1,1,1,1,1,1,1,"",3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,"",3,3,2,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,7,6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,20,20,10,25,20,25,1,1,1,25,30,30,0,0
48,5,1,8,"KABBA DISTRICT",5,"FSP CLINIC,KABBA","DR OLUBAJO",1900-06-14,12.1,12.55,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-14,"OS",,"","AJAYI",,1.79769313486232e+308,,1.79769313486232e+308,1,2,"",0,0,1,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,1,0,0,2,2,1,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1,3,"",1,2,1,2,2,0.1,5,0.3,0.1,1,4,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1.79769313486232e+308,99,1.79769313486232e+308,99,1.79769313486232e+308,99,150,1.79769313486232e+308,1,1,"",0,0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1.79769313486232e+308,2,2,2,1.79769313486232e+308,2,2,2,1.79769313486232e+308,2,2,2,1.79769313486232e+308,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,1,1.79769313486232e+308,0,1.79769313486232e+308,0,1.79769313486232e+308,80,1.79769313486232e+308,1.79769313486232e+308,40,1.79769313486232e+308,1.79769313486232e+308,30,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,2,1.79769313486232e+308,4,4,4,4,4,4,1,2,8,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"1",1,1,1,2,1,1,2,1,"1",3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,4,"",5,1,2,2,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,0,4,4,4,0,0
